ID,New ID,Title,A. Obesity focused,B. Health focused,C. Weight loss focused,D. Other disease Focused,E. Food focused,F. Unrelevant,G. Obesity  related,H Diet focused,I weight loss medicine,other medicine,body image /body weight,clothes related,English Translation
P0272,65,别太胖!胃癌诱因重新排名了!“肥胖”挤进前三名,1,,,,,,,,,,,,
P0568,66,"最严重的青少年肥胖爆发:中国胖娃3000万,速度罕见",1,,,,,,,,,,,,
P0035,67,51岁袁立现身公益:肥胖变化大 穿短裙伤疤显眼,1,,,,,,1,,,,,,
P0133,68,“中国肥胖地图”火了:41%中国男人超重 这个省最苗条,1,,,,,,,,,,,,
P0864,69,"美国现役士兵70%肥胖或超重,人数比10年前翻一倍",1,,,,,,,,,,,,
P1116,70,鸡蛋有两种“最差”吃法 助肥胖、营养差 要少吃,,,,,,,1,,,,,,
P0371,71,"在所有肥胖的危害里,「精神疾病」是我没想到的",1,,,,,,,,,,,,
P0059,72,"BMI:肥胖的伪标准,难道我们被骗了100多年吗?",1,,,,,,,,,,,,
P1028,73,迪丽热巴生子风波:网友扒变化图 浮肿变胖超半年,,,,,,,1,,,,,,
P0629,74,"没想到!如果胖得「稳定」,其实是一种长寿优势",1,,,,,,,,,,,,
P0409,75,女王行为+1!晒照因为胖被质疑怀孕?赛琳娜怒怼,1,,,,,,,,,,,,
P1046,76,"郑伊健爱妻在日4年胖27斤,希望观众接受全新的她",1,,,,,,,,,,,,
P0493,77,"惊险!过山车行至最高点,美国胖男的安全杆突然崩开",,,,,,,1,,,,,,
P0159,78,"乐基儿出席时尚活动:腹肌好美,42岁越胖越有幸福感",,,,,,,1,,,,,,
P0247,79,冯巩67岁大寿 贾玲搂恩师合影 复胖身形引关注,,,,,,,1,,,,,,
P1076,80,"阿娇2个月内体重如过山车,最新巡演体重失控又复胖",1,,,,,,,,,,,,
P0084,81,"一个不吃晚饭的人,是怎样养成「易胖体质」的?",1,,,,,,,,,,,,
P0933,82,英国最胖的城镇:麦当劳门前车辆排长队,1,,,,,,,,,,,,
P0472,83,彻底放飞自我?阿娇最新演出胖成“阿爆”演出划水,1,,,,,,,,,,,,
P0510,84,扎心了!减肥为什么会反弹?身体“记得”你胖过,1,,,,,,,,,,,,
P0595,85,柜姐因评论刘亦菲微胖被辞退 网友称没必要 品牌回应,1,,,,,,,,,,,,
P0597,86,柜姐评论刘亦菲微胖被辞退 政府劳动部门回应了,1,,,,,,,,,,,,
P0578,87,"最美港姐复出:生病后胖成200斤,模样大变仍需服药",,,,,,,,,,,,,
P0627,88,沈腾一家现身海南 妻子王琦发福 6岁儿子白胖,,,,,,,1,,,,,,
P1022,89,这寒假杭州大批孩子不敢胖!超过5斤成绩可能要下降,1,,,,,,,,,,,,
P0758,90,狂吃不胖还减肥 减肥疫苗来了?美国人狂喜:快上市,1,,,,,,,,,,,,
P0816,91,研究显示:面包燕麦酸奶...长期吃这类食物会变胖还变傻,1,,,,,,,,,,,,
P1063,92,重马胖女孩”意外出圈 曾是8块腹肌“追风少女”,1,,,,,,,,,,,,
P0185,93,你吃得越快，越容易胖！这6个“慢吃法”快学起来,1,,,,,,,,,,,,
P0174,94,以为只是变胖！澳洲妹子就医才知怀孕9个半月，17小时后生了,,,,,,,1,,,,,,
P0338,95,吴秀波退圈5年后称被骗破产 身材发福气质不再,,,,,,,1,,,,,,
P0982,96,谷歌工程师杀妻案开庭 陈立人入狱近半年明显发福,,,,,,,1,,,,,,
P0577,97,最纯艳星知三当三陷“不伦恋”如今身材发福变残,,,,,,,1,,,,,,
P0592,98,杨钰莹终究发福了!穿搭时尚难掩浮肿 却依然清纯,,,,,,,1,,,,,,
P1113,99,"高云翔被曝再婚生女,发福发腮变化大,疑带二胎旅游",,,,,,,1,,,,,,
P0634,100,洗米华上诉失败获刑18年!老婆秀母女情 小三发福,,,,,,,1,,,,,,
P0024,101,"41岁发福松弛的蒋欣,打脸了多少“假冻龄”女神",,,,,,,1,,,,,,
P0239,102,关晓彤最新状态惹争议:发福脸肿 年龄感尽显,,,,,,,1,,,,,,
P0194,103,"俄男子模仿小李子走红,在发福后失业,已自愿去前线",,,,,,,1,,,,,,
P0429,104,"宋祖儿身材发福眼袋抢镜:被嘲星味全无,还不如素人",,,,,,,1,,,,,,
P0265,105,刘晓庆现身:身材发福大妈感十足 衣品被网友吐槽,,,,,,,1,,,,,,
P0032,106,49岁林心如时装周生图曝光 身材发福脸颊圆润,,,,,,,1,,,,,,
P0994,107,赵丽颖裙子显土 殷桃脸肿发福 李沁星光闪闪,,,,,,,1,,,,,,
P0987,108,贝克汉姆妻子分享子女们大合影 女儿小七显发福,,,,,,,1,,,,,,
P0858,109,罗嘉良无锡商演太掉价 穿增高鞋 发福明显老太多,,,,,,,1,,,,,,
P1045,110,郑伊健夫妇移居日本逛超市 50岁蒙嘉慧发福疑怀孕,,,,,,,1,,,,,,
P0335,111,吴奇隆发福变油腻 与《英雄本色》女主亲如母子,,,,,,,1,,,,,,
P1051,112,"郭碧婷与向太同框:肩宽体壮严重发福,两人越来越像",,,,,,,1,,,,,,
P0469,113,"张继科赌博风波后现,精神不佳略发福,在宁波当教练",,,,,,,1,,,,,,
P1047,114,郑爽近照曝光:身材发福 穿名牌染黄发变精神小妹,,,,,,,1,,,,,,
P0245,115,内马尔最新照片大变样 明显发福成“肉马尔”,,,,,,,1,,,,,,
P0042,116,"60岁水均益现身加拿大,身材发福,大腹便便遭嘲笑",,,,,,,1,,,,,,
P1048,117,郭晶晶全家云南避暑 霍启刚大肚腩发福明显,,,,,,,1,,,,,,
P1101,118,颠覆你对食品认知的一本书Ultra-Processed People，聊聊UPF,,,,,1,,,,,,,,
P0067,119,Novo Nordisk在英国推出减肥药Wegovy,,,,,,,,,1,,,,
P0479,120,心脏基金会担心年轻澳洲人的寿命可能比父母一辈要短,,1,,,,,,,,,,,
P0661,121,澳人健康寿命和实际寿命之间的差距是12年,,1,,,,,,,,,,,
P0860,122,美国医疗保险将为心脏病患者提供减肥药Wegovy,,,,,,,,,1,,,,
P0808,123,研究发现，澳洲超市出售的婴儿食品均不符合WHO指导方针,,,,,1,,,,,,,,
P0756,124,物理治疗是医疗界最鲜为人知的秘密,,,,,,1,,,,,,,
P0522,125,担忧的家长把网购减肥药送去检测，结果测出了冰毒,,,,,,1,,,,,,,
P0547,126,新闻汇总 - 研究发现婚姻让男性肥胖的风险增三倍，但不影响女性肥胖风险,1,,,,,,,,,,,,
P0854,127,经济学人长篇报道：GLP-1类药物如Ozempic是医学史上最重要的药物突破之一,,,,,,,,,1,,,,
P0859,128,美国FDA批准Lilly公司的减肥药,,,,,,,,,1,,,,
P0073,129,TGA批准首款治疗睡眠呼吸暂停的药物,,,,,,,,,,1,,,
P0471,130,彭博社：Ozempic药热潮，引诱富裕的印度人勇闯灰色市场,,,,,,,,,1,,,,
P0853,131,经济学人周刊：世界肥胖之都在哪儿？,1,,,,,,,,,,,,
P0939,132,药物如Ozempic将改变世界，不仅仅是解决肥胖问题,,,,,,,1,,,,,,
P0934,133,英国研究发现，COVID-19封锁期间儿童肥胖率激增,1,,,,,,,,,,,,
P0128,134,中国发布首个肥胖症诊断指南，应对日益严重的肥胖危机,1,,,,,,,,,,,,
P0353,135,因肥胖率上升，中国将在中小学校加强体育,1,,,,,,,,,,,,
P0810,136,研究发现婚姻让男性肥胖的风险增三倍，但不影响女性肥胖风险,1,,,,,,,,,,,,
P0811,137,研究发现每天饮用一种人工甜味剂软饮料会使糖尿病风险增加三分之一以上,,,,1,,,,,,,,,
P0715,138,澳洲是世界上乳腺癌诊断率最高的国家之一,,,,1,,,,,,,,,
P0307,139,可口可乐回应特朗普建议将推出新版本可乐,,,,1,,,,,,,,,
P0114,140,世卫组织对假冒诺和诺德减肥药发出警告,,,,,,,,,1,,,,
P0097,141,一种擅长“装忙”的脂肪细胞 可帮助我们减肥,,,1,,,,,,,,,,
P0319,142,吃对酸碱性，躺着也能瘦！新研究：这样吃狂甩肉,,,1,,,,,,,,,,
P0532,143,揭秘防止体重悄增的七大妙招：远离慢性疾病,1,,,,,,,,,,,,
P0944,144,"著名网红“两周”瘦220斤,随即称这是一场“社会实验”",,,1,,,,,,,,,,
P0709,145,澳洲批准一款减肥药 治疗心血管疾病,,,,,,,,,1,,,,
P0287,146,午餐不良恐致儿童体重增加 患高血压,,,,,,,1,,,,,,
P0519,147,护士称体重应对肥胖问题 提议引发争议,1,,,,,,,,,,,,
P0019,148,33岁张含韵被骂“爆肥”！1.62米55公斤，本人晒秤自嘲“真的胖”,1,,,,,,,,,,,,
P0451,149,小李子为爱减肥？恋爱后怒减小肚子，瘦出下颌线,,,1,,,,,,,,,,
P0993,150,赌王女儿何超盈暴瘦？结婚时发福似两百斤，减肥速度堪比贾玲,,,1,,,,,,,,,,
P0840,151,第一批打司美格鲁肽减肥的人，已被反弹劝退,,,,,,,,,1,,,,
P0027,152,43岁贾玲近照曝光！和汪顺一起打球，身材苗条年轻有活力，没复胖,,,,,,,1,,,,,,
P0087,153,一个月只吃赛百味，小哥成功减肥：做对这些，快餐瘦身比吃药快8倍,,,1,,,,,,,,,,
P0293,154,华人警惕！澳洲网红减肥法出事了！副作用惊人！很多人把命都搭上了,,,1,,,,,,,,,,
P1083,155,"陈瑶一句“我胖了”惹怒网友, 明星都是怎么瘦下来的!",,,,,,,1,,,,,,
P0037,156,53岁袁立现身巴黎，瘦身15斤颜值回春，小12岁老公邋遢似老头,,,1,,,,,,,,,,
P0121,157,东契奇瘦成闪电！耻辱1-4出局逼260斤胖子减肥，少赚1.2亿真急了,1,,,,,,,,,,,,
P0792,158,看了朱珠李雪琴的有效瘦身，忍不住想夸！,,,1,,,,,,,,,,
P0831,159,私教立即请回家，看到的人都别错过...,,,1,,,,,,,,,,
P0358,160,国家给减肥上高度了,,,1,,,,,,,,,,
P0135,161,中国胖子，即将反超美国,1,,,,,,,,,,,,
P0251,162,减肥不能碰“瓜子”？坦白说：不想腰上长赘肉，3种食物莫要贪吃,,,1,,,,,,,,,,
P0369,163,在减肥的澳洲人注意了：小心染上这个剧痛的病！,,,1,,,,,,,,,,
P0364,164,國小生愛炸物 求助成大斗六分院擊退兒童肥胖症,1,,,,,,,,,,,,
P0156,165,久坐侵蝕身心 通勤提前下車每天8千步顧健康,,1,,,,,,,,,,,
P0837,166,立冬鍋物儀式感小心血壓失控 別睡前4小時進補,,1,,,,,,,,,,,
P0225,167,全球200大幸福城市台灣9城市上榜 台北排第8超越洛杉磯東京,,,,,,1,,,,,,,
P0366,168,國泰醫院赴聖露西亞 協助強化代謝性慢性病防治,,,,1,,,,,,,,,
P0759,169,獲唐獎生醫獎 霍斯特：從事自己熱愛事得到樂趣,,,,,,1,,,,,,,
P0969,170,讓科技告訴你該吃什麼 全家攜華碩桂冠打造健康儀表板,,1,,,,,,,,,,,
P0844,171,糖尿病藥物被當減肥藥使用 監管機構調查Ozempic副作用,,,,,,,,,1,,,,
P0655,172,港學童超重率微降 未回到疫前水平,1,,,,,,,,,,,,
P0667,173,澳半數青少年恐將超重 是系統問題政府需參與改變,1,,,,,,,,,,,,
P0704,174,澳洲悉尼和諧獅子會將舉辦年度糖尿病健康講座,,,,1,,,,,,,,,
P0901,175,肥胖可致失智 8種減肥法 哪種適合你？,1,,,,,,,,,,,,
P0906,176,肥胖女減掉200磅 靠步行和低碳水化合物飲食,1,,,,,,,,,,,,
P0907,177,肥胖成為南澳疾病風險沉重負擔,1,,,,,,,,,,,,
P0910,178,肥胖者死亡的一個重要風險因素 你可能想不到,1,,,,,,,,,,,,
P0905,179,肥胖增13種癌症風險 防癌、減肥飲食法正夯,1,,,,,,,,,,,,
P0201,180,「健康寶藏」洋蔥益處多 抗癌抗炎抗肥胖,,,,,,,1,,,,,,
P0904,181,肥胖問題日益嚴重 桃園療養院推出專業減重門診,1,,,,,,,,,,,,
P0913,182,肥胖超越吸菸 成為澳洲頭號健康殺手,1,,,,,,,,,,,,
P0903,183,肥胖問題已經成為中國重大公共衛生挑戰,1,,,,,,,,,,,,
P0896,184,肥胖人群需警惕 常見代糖誘騙大腦讓你吃更多,1,,,,,,,,,,,,
P0900,185,【肥胖危機】研究預測 2050 年澳洲將有半數兒童超重,1,,,,,,,,,,,,
P0946,186,融合全球经验，守护脊柱健康——专访墨尔本Epworth Eastern脊椎外科医生Alvin Pun（下）,,,,,,1,,,,,,,
P0822,187,研究预测：澳人体重每十年增3公斤,1,,,,,,,,,,,,
P0804,188,研究：观看8分钟TikTok视频 女性对身体形象满意度下降,,,,,,,,,,,1,,
P0882,189,老年人的日常营养需要,,1,,,,,,,,,,,
P0217,190,儿童肥胖率达到严峻里程碑，对澳洲敲响警钟,1,,,,,,,,,,,,
P0131,191,中国研究建议分区域饮食，以应对肥胖风险上升,1,,,,,,,,,,,,
P0930,192,英国将拨款五千万美元，让肥胖的人更容易获得控制体重的药,,,,,,,,,1,,,,
P0817,193,研究显示每周力量训练三次可减龄八岁,,1,,,,,,,,,,,
P0152,194,为什么这一不健康的趋势，可能对Medicare带来巨大不利的影响,,1,,,,,,,,,,,
P0226,195,全球各国男性阴茎平均尺寸揭晓,,,,,,1,,,,,,,
P0683,196,澳洲50岁以下人群肠癌比例全球最高,,,,1,,,,,,,,,
P1103,197,风靡欧美的抗衰老药物：Ozempic,,,,,,,,,1,,,,
P0852,198,经济学人：如何降低患痴呆症的风险？,,,,1,,,,,,,,,
P0374,199,在瘦身营试图减180斤的中国网红翠花去世,,,1,,,,,,,,,,
P1060,200,《重新思考糖尿病》评论：超越胰岛素,,,,1,,,,,,,,,
P0812,201,研究发现降低高血压可降低痴呆风险,,,,1,,,,,,,,,
P0069,202,Rebel Wilson承认在减肥期间用过Ozempic，最近因为压力而复胖14公斤,1,,,,,,,,,,,,
P0351,203,四个月体重（-10KG）、腰围（-13cm) - 饮食经验总结,13cm) - 饮食经,,1,,,,,,,,,,
P0604,204,欧洲面临减肥药物的长期等待，各国政府关注成本,,,,,,,,,1,,,,
P0642,205,海南航空关于要”过重“空姐停飞的规定在中国引起公愤,1,,,,,,,,,,,,
P0370,206,在国外穿S码 回国居然穿不了XL码 怎么回事?,,,,,,,,,,,,1,
P0813,207,研究发现食用山核桃能有效对抗肥胖、糖尿病和炎症,,,,,,,1,,,,,,
P0955,208,解决儿童肥胖症，立法草案“瞄准”针对儿童的垃圾食品广告,1,,,,,,,,,,,,
P0106,209,不是所有米饭都长胖！澳洲营养专家解析6种米，这样吃米更健康,,,,,,,1,,,,,,
P0303,210,发胖真有“分界线” 从这个年龄开始代谢急转直下,1,,,,,,,,,,,,
P0596,211,柜姐称“刘亦菲微胖”被辞退 店员:她并无恶意,1,,,,,,,,,,,,
P0643,212,海航管控空姐体重:超重10%立即停飞 律师:违法,1,,,,,,,,,,,,
P0230,213,全球拥有最多超重儿童国家榜单：澳洲第2，中国41，榜首竟是它,,,,,,,,,,,,,
P0325,214,吃的早，瘦得快！最新研究：提前吃晚餐可有效减轻体重,,,1,,,,,,,,,,
P1095,215,面相变了!贾玲最新露面 体重竟反弹回归原状,1,,,,,,,,,,,,
P0988,216,贾玲回应“体重反弹” 最新出镜发声:维持不住的,1,,,,,,,,,,,,
P0419,217,姚明女儿又胖了!14岁身高190体重近190斤,1,,,,,,,,,,,,
P0884,218,"老戏骨林雪健康令人担忧!体重飙升,做运动表情痛苦",,,,,,,,,,,,,
P0104,219,上体重秤吧!科学告诉你 每天称重一次 最容易减肥,,,1,,,,,,,,,,
P0343,220,哈佛大学研究:这种“健康”饮料或导致体重飙升…,1,,,,,,,,,,,,
P0031,221,"47岁李湘前凸后翘体重飙涨,神秘男相伴疑有新恋情",1,,,,,,,,,,,,
P0583,222,杀人犯仅坐牢一年 体重飙升至400斤 竟获释回家减肥,1,,,,,,,,,,,,
P0797,223,"知名港星现身任贤齐演唱会!体重飙升,肚大如球",,,,,,,,,,,,,
P0525,224,拒身材焦虑 手撕病态美?她被控性骚扰!搞体重羞辱,,,,,,,,,,,1,,
P0257,225,"减肥还能“健脑”!体重减少1%,大脑年轻了9个月",,,1,,,,,,,,,,
P0786,226,登机前要称体重!新西兰航空官宣新规 胖乘客崩溃,1,,,,,,,,,,,,
P0954,227,西澳或引入新法规，歧视体重或身高将重罚$10000,,,,,,,,,,,1,,
P0017,228,30岁邓伦近照大变样!发福圆润和以前判若两人,1,,,,,,,,,,,,
P1052,229,郭碧婷复工状态引热议 身材发福越来越像向太,1,,,,,,,,,,,,
P0045,230,68岁林青霞疑不穿内衣惹争议 身材发福似大妈,1,,,,,,,,,,,,
P0157,231,久违现身!47岁赵薇发福 素颜显老眼睛水肿,1,,,,,,,,,,,,
P0473,232,徐静蕾定居美国气质大变 身材发福 胖出双下巴,1,,,,,,,,,,,,
P1110,233,"马云现身设家宴:身材发福,豪宅庭院内景曝光",1,,,,,,,,,,,,
P0336,234,吴彦祖变“苏大强”?近照曝光被指身材发福变秃,1,,,,,,,,,,,,
P0474,235,"徐静蕾退圈后长居美国:到处吃喝玩乐,模样发福",1,,,,,,,,,,,,
P0585,236,李小璐拍广告疑似正式复出 小腹凸起身材发福,1,,,,,,,,,,,,
P0021,237,"38岁凤姐现身美国坐公交,身材臃肿发福内裤外露",1,,,,,,,,,,,,
P1031,238,"退圈12年后,51岁刀郎发福油腻 网友:撞脸范伟",1,,,,,,,,,,,,
P0452,239,"小贝一家现身巴黎,女儿发福,贝嫂拄双拐却仍拒搀扶",1,,,,,,,,,,,,
P0626,240,"汪峰接女儿,身材发福!8岁醒醒走路带风神似章子怡",1,,,,,,,,,,,,
P0259,241,凤姐美国被偶遇坐公交车 身材发福体重近200斤,1,,,,,,,,,,,,
P0410,242,"女神?:刘亦菲发福,杨幂脸垮,林志玲僵硬,娄艺潇科技",1,,,,,,,,,,,,
P0273,243,"别看潘粤明现在胖若两人,顶顶跟他发福前一模一样",1,,,,,,,,,,,,
P0274,244,"别超重!体重如果达到这个数,等于大脑早衰了12年",1,,,,,,,,,,,,
P0392,245,"大S具俊晔恩爱合体:她被老公亲脸好娇羞,脸胖不少",1,,,,,,,,,,,,
